GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age
M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,51.43013699
F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,37.14246575
F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,43.94520548
F,Y,N,0,191399.3262,Commercial associate,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,37.14246575
F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,37.14246575
F,Y,N,0,315000,Pensioner,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,37.14246575
F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,6.37331979,1,1,1,0,Laborers,2,1,37.14246575
F,N,N,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,60.64109589
M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,6.519147288,1,0,1,1,Core staff,3,1,49.7890411
M,Y,Y,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,6.519147288,1,0,1,1,Core staff,3,1,49.7890411
M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,6.519147288,1,0,1,1,Core staff,1,1,49.7890411
F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,6.909753282,1,1,1,0,Cooking staff,2,1,51.91780822
F,Y,Y,0,191399.3262,Working,Secondary / secondary special,Married,House / apartment,6.909753282,1,1,1,0,Cooking staff,2,1,51.91780822
F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,6.909753282,1,1,1,0,Cooking staff,2,1,51.91780822
M,N,N,1,472500,Pensioner,Higher education,Married,With parents,6.816735881,1,0,0,1,Laborers,3,1,24.40273973
M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,5.513428746,1,0,0,0,Laborers,2,1,46.29041096
M,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,5.513428746,1,0,0,0,Laborers,2,1,46.29041096
F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,7.81197343,1,0,0,0,Sales staff,1,1,51.8
F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,7.81197343,1,0,0,0,Sales staff,1,1,51.8
M,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,7.404887576,1,0,0,1,Laborers,2,1,51.67945205
M,N,N,0,202500,Working,Higher education,Single / not married,House / apartment,8.37262974,1,0,0,0,Laborers,1,1,35.09863014
M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,7.422971251,1,0,0,1,Laborers,2,1,32.9369863
M,N,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,6.9902565,1,0,0,0,Accountants,2,1,48.76712329
F,N,Y,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,6.829793738,1,0,0,0,Sales staff,4,1,33.24657534
F,N,Y,0,180000,Working,Higher education,Married,House / apartment,6.749931194,1,0,0,0,Laborers,2,1,43.76986301
F,Y,Y,0,540000,Commercial associate,Higher education,Married,House / apartment,5.220355825,1,0,1,0,Laborers,2,1,43.01917808
F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,1,0,Laborers,2,1,59.81369863
F,N,Y,0,191399.3262,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,1,0,Laborers,2,1,59.81369863
F,N,Y,0,292500,Working,Secondary / secondary special,Married,House / apartment,8.116715625,1,0,0,0,High skill tech staff,2,1,30.44109589
M,N,N,0,540000,Commercial associate,Higher education,Married,House / apartment,6.538139824,1,0,0,0,Managers,2,1,54.78356164
F,N,Y,0,90000,Working,Lower secondary,Single / not married,Rented apartment,8.470101584,1,0,0,0,Cleaning staff,2,1,32.94794521
F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,1,1,Laborers,2,1,59.93424658
F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,7.780720886,1,0,0,0,Laborers,1,1,29.44931507
F,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,5.950642553,1,1,0,0,Sales staff,3,1,43.70410959
M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,8.201660191,1,0,0,0,Laborers,2,1,35.65753425
M,Y,N,0,112500,State servant,Secondary / secondary special,Single / not married,House / apartment,7.343426229,1,0,0,0,Drivers,2,1,55.70684932
M,Y,Y,0,292500,Working,Higher education,Married,House / apartment,6.694562059,1,0,0,0,Drivers,2,1,57.68493151
F,Y,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,65.30136986
M,Y,Y,0,215100,Commercial associate,Secondary / secondary special,Married,House / apartment,7.158513997,1,0,1,0,Laborers,2,1,52.53424658
M,Y,Y,0,450000,Commercial associate,Higher education,Separated,House / apartment,6.751101469,1,1,1,0,Laborers,1,1,44.29863014
F,Y,N,2,270000,State servant,Higher education,Married,House / apartment,8.905037291,1,1,1,0,Laborers,4,1,43.98082192
F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,63.79726027
F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,63.79726027
F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,63.79726027
F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,7.727094485,1,0,1,0,Low-skill Laborers,3,1,42.37260274
F,N,Y,1,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,7.727094485,1,0,1,0,Low-skill Laborers,3,1,42.37260274
F,N,Y,1,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,8.32215107,1,0,0,0,Accountants,3,1,51.7260274
M,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,7.057036982,1,0,0,0,Laborers,3,1,30.38630137
M,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,7.057036982,1,0,0,0,Laborers,3,1,30.38630137
M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,8.893984439,1,1,0,0,Laborers,2,1,50.2109589
M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,8.893984439,1,1,0,0,Laborers,2,1,50.2109589
M,N,N,0,171000,Commercial associate,Incomplete higher,Single / not married,House / apartment,5.111987788,1,1,1,0,High skill tech staff,1,1,31.80821918
M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,6.763884909,1,0,0,0,Laborers,3,1,26.28493151
M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,6.763884909,1,0,0,0,Laborers,3,1,26.28493151
F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,6.335054251,1,0,0,1,IT staff,2,1,28.48219178
F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,6.335054251,1,0,0,1,IT staff,2,1,28.48219178
M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,8.121480375,1,0,0,0,Drivers,2,1,49.08219178
M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,8.121480375,1,0,0,0,Drivers,2,1,49.08219178
M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,8.121480375,1,0,0,0,Drivers,2,1,49.08219178
F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,7.673223121,1,1,0,0,Managers,2,1,51.14246575
M,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,7.284820913,1,0,0,0,Drivers,3,1,44.99726027
M,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,7.284820913,1,0,0,0,Drivers,1,1,44.99726027
F,N,N,2,180000,Working,Secondary / secondary special,Married,House / apartment,9.032289682,1,0,0,0,Laborers,4,1,45.50958904
F,N,N,2,180000,Working,Secondary / secondary special,Single / not married,House / apartment,9.032289682,1,0,0,0,Laborers,4,1,45.50958904
F,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,67.42739726
F,N,Y,0,191399.3262,Pensioner,Higher education,Separated,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,67.42739726
M,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,67.42739726
F,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,67.42739726
M,N,N,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,6.230481448,1,0,0,0,Sales staff,1,1,25.32054795
M,N,N,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,6.230481448,1,0,0,0,Sales staff,1,1,25.32054795
M,N,N,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,6.230481448,1,0,0,0,Sales staff,1,1,43.94520548
M,N,Y,0,65250,Pensioner,Higher education,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,57.18356164
M,N,Y,0,72900,Pensioner,Lower secondary,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,64.17260274
